Όνομα,Περιγραφή
Κυριάκος Μητσοτάκης,"Εκλέγεται Πρωθυπουργός στις 8/7/2019. Στις 7/8/2019 συστήνεται η Προεδρία της Κυβέρνησης, η οποία υπάγεται στον Πρωθυπουργό και στην οποία εφεξής υπάγονται η ΕΥΠ και τα κρατικά ΜΜΕ, ΕΡΤ και ΑΜΠΕ."
Γρηγόρης Δημητριάδης,"Ανιψιός του Κ. Μητσοτάκη, Γενικός Γραμματέας του Πρωθυπουργού μεταξύ 7/8/2019-5/8/2022, έχοντας υπ’ ευθύνη του την ΕΥΠ στη νεοσύστατη Προεδρία της Κυβέρνησης και με δικαίωμα να υπογράφει «με εντολή Πρωθυπουργού»."
Παναγιώτης Κοντολέων,"Διοικητής της ΕΥΠ μεταξύ 1/8/2019-5/8/2022."
Ευαγγελία Γεωργακόπουλου,"Πρώην επικεφαλής της Διεύθυνσης Συλλογής και Ανάλυσης Πληροφοριών και Β΄ υποδιευθύντρια Τρομοκρατίας και Οργανωμένου Εγκλήματος της ΕΥΠ. Επικεφαλής της ομάδας αστυνομικών που αποσπάστηκαν στην ΕΥΠ και, στις εγκαταστάσεις στην Αγία Παρασκευή, αρχικά εκπαιδεύτηκε και στη συνέχεια χρησιμοποίησε το λογισμικό Predator."
Κωνσταντίνος Τσουβάλας,"Γενικός Γραμματέας του Υπουργείου Προστασίας του Πολίτη, αντικαταστάθηκε τον Σεπτέμβριο 2022. Βρισκόταν σε καίριες θέσεις όταν το Δημόσιο υπέγραψε τρεις συμβάσεις με την Krikel: αρχηγός του επιτελείου της ΕΛΑΣ το 2014, όταν το σύστημα TETRA έγινε δεκτό ως «δωρεά»· Αρχηγός της ΕΛΑΣ το 2017, όταν το Δημόσιο υπέγραψε σύμβαση με την Krikel για το TETRA· Γενικός Γραμματέας το 2019, όταν υπέγραψε νέα σύμβαση με την Krikel για σύστημα αντιπαρακολούθησης. Ήταν προσκεκλημένος στη βάφτιση του πρώτου παιδιού του Γ. Λαβράνου το 2017."
Θεμιστοκλής Δεμίρης,"Διάδοχος του Π. Κοντολέοντα στη θέση του Διοικητή της ΕΥΠ από τον Αύγουστο 2022. Κατέθεσε ενώπιον της Κοινοβουλευτικής Επιτροπής Θεσμών και Διαφάνειας ότι ενημέρωσε τον Πρωθυπουργό για νόμιμες παρακολουθήσεις."
Intellexa,"Ομπρέλα εταιριών, στις οποίες συμπεριλαμβάνεται η ελληνική Intellexa ΑΕ. Μεταξύ άλλων εργαλείων παρακολούθησης και υποκλοπών, εμπορεύεται το Predator."
Cytrox,"Εταιρία της Βόρειας Μακεδονίας που ανέπτυξε το λογισμικό Predator. Το 2019 εξαγοράστηκε από την Intellexa."
Ταλ Ντίλιαν,"Πρώην επικεφαλής μυστικής μονάδας (Unit 81) της ισραηλινής στρατιωτικής υπηρεσίας πληροφοριών. Ιδρυτής της Intellexa."
Σάρα-Φαϊσάλ Αλεξάνδρα-Χαμού,"Σύμβουλος διαχειρίστρια, μοναδικό μέλος του ΔΣ, και εκπρόσωπος της Intellexa ΑΕ από τη σύστασή της στις 11/3/2020. Δεύτερη σύζυγος του Ταλ Ντίλιαν. Έχει συμμετάσχει στα ΔΣ περισσότερων από 20 εταιρειών που συνδέονται με τον Ντίλιαν."
